efgroup,species,ef
1,n-Butane,0.036
1,n-Butylbenzene,0.008
1,n-Decane,0.019
1,n-Heptane,0.008
1,n-Hexanal,0.023
1,n-Hexane,0.012
1,n-Octane,0.008
1,n-Pentane,0.007
1,n-Propylbenzene,0.005
1,n-Undecane,0.016
1,o-Xylene,0.025
1,p-Cymene,0.002
1,trans-1_3-Hexadiene,0.004
1,trans-1_3-Pentadiene,0.023
1,trans-2-Butene,0.035
1,trans-2-Pentene,0.016
10,CH4,2.21
10,CO,65
10,CO2,1696
10,NH3,1.37
10,NOx,3.53
10,PM10,14.21
10,PM2.5,12.08
10,SO2,0.93
11,CH4,5.4
11,CO,119
11,CO2,1538
11,NH3,1.1
11,NOx,3.53
11,PM10,14.21
11,PM2.5,12.08
11,SO2,0.5
12,CH4,2.67
12,CO,84.19
12,CO2,1651
12,NH3,2.13
12,NOx,2.18
12,PM10,17.39
12,PM2.5,14.78
12,SO2,0.7
13,CH4,2.27
13,CO,76.87
13,CO2,1658
13,NH3,1.74
13,NOx,2.18
13,PM10,17.39
13,PM2.5,14.78
13,SO2,0.77
14,CH4,5.9
14,CO,129.5
14,CO2,1580
14,NH3,3.7
14,NOx,2.18
14,PM10,17.39
14,PM2.5,14.78
14,SO2,0.5
15,CH4,4.12
15,CO,97
15,CO2,1576
15,NH3,0.82
15,NOx,3.34
15,PM10,29.76
15,PM2.5,25.3
15,SO2,0.99
16,CH4,2.41
16,CO,74
16,CO2,1692
16,NH3,0.52
16,NOx,2.43
16,PM10,24.6
16,PM2.5,20.91
16,SO2,1.06
17,CH4,11.36
17,CO,166
17,CO2,1462
17,NH3,1.56
17,NOx,1.56
17,PM10,34.53
17,PM2.5,29.35
17,SO2,1.55
18,CH4,2.38
18,CO,73
18,CO2,1708
18,NH3,2.06
18,NOx,2.86
18,PM10,14.15
18,PM2.5,12.03
18,SO2,0.74
19,CH4,2.2
19,CO,70
19,CO2,1746
19,NH3,1.15
19,NOx,2.86
19,PM10,14.15
19,PM2.5,12.03
19,SO2,0.67
2,"1,2,3-Trimethylbenzene",0.025
2,"1,2,4-Trimethylbenzene",0.015
2,"1,3,5-Trimethylbenzene",0.003
2,1-Butanol,0.088
2,1-Butene,0.077
2,1-Butenylbenzene,0.002
2,1-Decene,0.015
2,1-Ethyl-2-Methylbenzene,0.009
2,"1-Ethyl-3-,4-Methylbenzene",0.029
2,1-Heptene,0.038
2,1-Hexene,0.051
2,1-Methyl-1-Propenylbenzene,0.013
2,1-Methylcyclohexane,0.004
2,1-Methylcyclohexene,0.008
2,1-Methylcyclopentane,0.081
2,1-Methylcyclopentene,0.004
2,1-Methylpyrazole,0.002
2,1-Methylpyrrole,0.003
2,1-Nonene,0.011
2,1-Octene,0.039
2,1-Pentene,0.034
2,1-Propenylbenzene,0.002
2,1-Undecene,0.019
2,1_1-Dimethylhydrazine,0.027
2,1_2-Butadiene,0.002
2,1_2-Butyne,0.003
2,1_2-Dihydronaphthalene,0.006
2,1_3-Butadiene,0.07
2,1_3-Butadiyne,0.001
2,1_3-CyclopentadienePIT,0.039
2,1_3-Dihydronaphthalene,0.007
2,1_3-MethylIndene,0
2,1_4-Diethylbenzene,0.002
2,2-Ethylfuran,0.017
2,2-Ethylpyrazine,0.006
2,2-Furaldehyde,0.45
2,2-Hexanone,0.01
2,2-Methyl-1-Butene,0.015
2,2-Methyl-1-Pentene,0.049
2,2-Methyl-2-Butenal,0.007
2,2-Methyl-2-Butene,0.025
2,2-Methylbutanal,0.036
2,2-Methylfuran,0.009
2,2-Methylpropanal,0.034
2,2-Methylpropene,0.073
2,2-Methylstyrene,0.009
2,2-Pentanone,0.031
2,2-Propenylbenzene,0.005
2,2_2-Dimethylbutane,0
2,2_2-Dimethylpropane,0.001
2,2_3-Butadione,0.232
2,2_3-Dihydro-1_4-Dioxin,0.002
2,2_5-Dihydrofuran,0.001
2,2_5-Dimethylfuran,0.031
2,3-Carene,0.013
2,3-Furaldehyde,0.019
2,3-Hexanone,0.025
2,3-Methyl-1-Butene,0.004
2,3-Methyl-2-Butanone,0.023
2,3-Methylfuran,0.025
