efgroup,species,ef
5,beta-Pinene,0.0133
5,cis-1_3-Hexadiene,0.0019
5,cis-1_3-Pentadiene,0.0221
5,cis-2-Butene,0.0147
5,cis-2-Hexene,0.0147
5,cis-2-Pentene,0.0315
5,gamma-Terpinene,0.00535
5,i-Butane,0.0214
5,i-Pentane,0.00865
5,iso-Limonene,0.0003
5,"m,p-Xylenes",0.0692
5,n-Butanal,0.0226
5,n-Butane,0.0446
5,n-Butylbenzene,0.0066
5,n-Decane,0.0148
5,n-Heptane,0.0211
5,n-Hexanal,0.0163
5,n-Hexane,0.00925
5,n-Octane,0.019
5,n-Pentane,0.0172
5,n-Propylbenzene,0.0096
5,n-Undecane,0.0189
5,o-Xylene,0.038
5,p-Cymene,0.117
5,trans-1_3-Hexadiene,0.00375
5,trans-1_3-Pentadiene,0.0264
5,trans-2-Butene,0.0156
5,trans-2-Pentene,0.0132
6,"1,2,3-Trimethylbenzene",0.0183
6,"1,2,4-Trimethylbenzene",0.0166
6,"1,3,5-Trimethylbenzene",0.0143
6,1-Butanol,0.208
6,1-Butene,0.0909
6,1-Butenylbenzene,0.0025
6,1-Decene,0.0125
6,1-Ethyl-2-Methylbenzene,0.0111
6,"1-Ethyl-3-,4-Methylbenzene",0.0163
6,1-Heptene,0.0524
6,1-Hexene,0.0673
6,1-Methyl-1-Propenylbenzene,0.0321
6,1-Methylcyclohexane,0.0028
6,1-Methylcyclohexene,0.0028
6,1-Methylcyclopentane,0.00455
6,1-Methylcyclopentene,0.0117
6,1-Methylpyrazole,0.0051
6,1-Methylpyrrole,0.0119
6,1-Nonene,0.0103
6,1-Octene,0.0522
6,1-Pentene,0.0177
6,1-Propenylbenzene,0.0046
6,1-Undecene,0.0136
6,1_1-Dimethylhydrazine,0.046
6,1_2-Butadiene,0.0025
6,1_2-Butyne,0.00875
6,1_2-Dihydronaphthalene,0.00685
6,1_3-Butadiene,0.12
6,1_3-Butadiyne,0.0058
6,1_3-CyclopentadienePIT,0.0257
6,1_3-Dihydronaphthalene,0.0074
6,1_3-MethylIndene,0.00145
6,1_4-Diethylbenzene,0.00155
6,2-Ethylfuran,0.0094
6,2-Ethylpyrazine,0.00415
6,2-Furaldehyde,0.279
6,2-Hexanone,0.0153
6,2-Methyl-1-Butene,0.00965
6,2-Methyl-1-Pentene,0.0674
6,2-Methyl-2-Butenal,0.0059
6,2-Methyl-2-Butene,0.0147
6,2-Methylbutanal,0.0422
6,2-Methylfuran,0.159
6,2-Methylpropanal,0.0439
6,2-Methylpropene,0.0262
6,2-Methylstyrene,0.0135
6,2-Pentanone,0.0524
6,2-Propenylbenzene,0.00595
6,2_2-Dimethylbutane,0.00005
6,2_2-Dimethylpropane,0.0001
6,2_3-Butadione,0.146
6,2_3-Dihydro-1_4-Dioxin,0.00255
6,2_5-Dihydrofuran,0.0153
6,2_5-Dimethylfuran,0.0208
6,3-Carene,0.0189
6,3-Furaldehyde,0.0118
6,3-Hexanone,0.033
6,3-Methyl-1-Butene,0.0033
6,3-Methyl-2-Butanone,0.0228
6,3-Methylfuran,0.0129
6,3-Methylpentane,0.0032
6,3-Methylstyrene,0.02
6,3-Pentanone,0.03
6,4-Methylstyrene,0.0062
6,Acetaldehyde,0.563
6,Acetic Acid,1.91
6,Acetone,0.31
6,Acetonitrile,0.146
6,Acrolein,0.386
6,Acrylic Acid,0.00975
6,Acrylonitrile,0.026
6,Benzaldehyde,0.243
6,Benzene,0.451
6,Benzenenitrile,0.0557
6,Benzofuran,0.103
6,Butenyne,0.00935
6,C10H14 non-aromatic,0.0024
6,C11 Aromatics,0.0547
6,CH4,1.95
6,CO,61
6,CO2,1705
6,Camphene,0.00945
6,Crotonaldehyde,0.182
6,Cyclohexene,0.00175
6,Cyclopentane,0.0008
6,Cyclopentanone,0.0834
6,Cyclopentene,0.0406
6,Cyclopentenedione,0.00685
6,Cyclopentenone,0.0748
6,D-Limonene,0.0249
6,Divinylacetylene,0.0068
6,Ethane,0.48
6,Ethanol,0.0553
6,Ethene,1.01
6,Ethyl Formate,0.0126
6,Ethyl Xylene_i1,0.0063
6,Ethyl Xylene_i2,0.0041
6,Ethylbenzene,0.0401
6,Ethylstyrene,0.00435
6,Ethyne,0.213
6,Ethynyl Benzene,0.0526
6,Formaldehyde,1.33
6,FormicAcid,0.0775
6,Furan,0.302
6,Glycolaldehyde,0.199
6,Glycolic Acid,0.00455
6,Heptadiyne_i1,0.00205
6,Heptadiyne_i2,0.0024
6,Hexenes,0.0571
6,Hexenyne,0.0062
6,Hydrogen Cyanide,0.749
6,Indane,0.0087
6,Indene,0.0305
6,Isobutylbenzene,0.00505
6,Isocyanic Acid,0.0815
6,Isoprene,0.0465
6,Isopropylbenzene,0.0061
6,Methacrolein,0.0426
6,Methanol,1.35
6,Methyl Acetate,0.259
6,Methyl Acrylate,0.00845
6,Methyl Diazine_i2,0.00925
6,Methyl Diazine_i3,0.0022
6,Methyl Ethyl Ketone,0.105
6,Methyl Formate,0.0732
6,Methyl Propanoate,0.0098
6,Methyl Vinyl Ketone,0.227
6,Methyl-n-Propylbenzene,0.0037
6,MethylButanoate,0.0027
6,MethylCyclopentadiene_i1,0.00575
6,MethylCyclopentadiene_i2,0.0054
6,MethylDiazine_i1,0.0105
6,MethylMethacrylate,0.0326
6,Methylbenzofuran,0.00085
6,Methylbenzofuran_i1,0.0121
6,Methylbenzofuran_i2,0.019
6,Methylbenzofuran_i3,0.0324
6,Monoterpenes,0.146
6,Myrcene,0.0102
6,NH3,1.5
6,NMOC,17.6451
6,NOx,2.18
6,Naphthalene,0.173
6,Nonadiene,0.00205
6,Nonane,0.013
6,Octadiene,0.0231
6,Other C6H10,0.0013
6,PM10,10.04
6,PM2.5,8.51
6,Pentadieneisomer,0.00615
6,Pentenone,0.231
6,Pentenyneisomers,0.00825
6,Phenol,0.453
6,Propanal,0.0969
6,Propane,0.889
6,Propanenitrile,0.0117
6,Propylene,0.532
6,Propyne,0.0283
6,Pyrrole,0.0127
6,Pyruvic Acid,0.00885
6,Resorcinol,0.189
6,SO2,0.68
6,Sesquiterpenes,0.163
6,Styrene,0.0881
6,Terpinolene,0.0068
6,Tetrahydrofuran,0.0016
6,Toluene,0.174
6,Vinyl Acetate,0.00035
6,alpha-Methylstyrene,0.0047
6,alpha-Pinene,0.0163
6,beta-Pinene,0.0133
6,cis-1_3-Hexadiene,0.0019
6,cis-1_3-Pentadiene,0.0221
6,cis-2-Butene,0.0147
6,cis-2-Hexene,0.0147
6,cis-2-Pentene,0.0315
6,gamma-Terpinene,0.00535
6,i-Butane,0.0214
6,i-Pentane,0.00865
6,iso-Limonene,0.0003
6,"m,p-Xylenes",0.0692
6,n-Butanal,0.0226
6,n-Butane,0.0446
6,n-Butylbenzene,0.0066
6,n-Decane,0.0148
6,n-Heptane,0.0211
6,n-Hexanal,0.0163
6,n-Hexane,0.00925
6,n-Octane,0.019
6,n-Pentane,0.0172
6,n-Propylbenzene,0.0096
6,n-Undecane,0.0189
6,o-Xylene,0.038
6,p-Cymene,0.117
6,trans-1_3-Hexadiene,0.00375
6,trans-1_3-Pentadiene,0.0264
6,trans-2-Butene,0.0156
6,trans-2-Pentene,0.0132
7,"1,2,3-Trimethylbenzene",0.167
7,"1,2,4-Trimethylbenzene",0.124
7,"1,3,5-Trimethylbenzene",0.025
7,1-Butanol,0.204
7,1-Butene,0.248
7,1-Butenylbenzene,0.005
7,1-Decene,0.036
7,1-Ethyl-2-Methylbenzene,0.02
7,"1-Ethyl-3-,4-Methylbenzene",0.067
7,1-Heptene,0.089
7,1-Hexene,0.118
7,1-Methyl-1-Propenylbenzene,0.03
7,1-Methylcyclohexane,0.009
7,1-Methylcyclohexene,0.019
7,1-Methylcyclopentane,0.189
7,1-Methylcyclopentene,0.009
7,1-Methylpyrazole,0.004
7,1-Methylpyrrole,0.008
7,1-Nonene,0.025
7,1-Octene,0.066
7,1-Pentene,0.065
7,1-Propenylbenzene,0.005
7,1-Undecene,0.045
7,1_1-Dimethylhydrazine,0.063
7,1_2-Butadiene,0.004
7,1_2-Butyne,0.008
7,1_2-Dihydronaphthalene,0.014
7,1_3-Butadiene,0.147
7,1_3-Butadiyne,0.002
7,1_3-CyclopentadienePIT,0.09
7,1_3-Dihydronaphthalene,0.015
7,1_3-MethylIndene,0
7,1_4-Diethylbenzene,0.005
7,2-Ethylfuran,0.036
7,2-Ethylpyrazine,0.014
7,2-Furaldehyde,0.067
7,2-Hexanone,0.023
7,2-Methyl-1-Butene,0.046
7,2-Methyl-1-Pentene,0.114
7,2-Methyl-2-Butenal,0.24
7,2-Methyl-2-Butene,0.072
7,2-Methylbutanal,0.083
7,2-Methylfuran,0.646
7,2-Methylpropanal,0.114
7,2-Methylpropene,0.171
7,2-Methylstyrene,0.02
7,2-Pentanone,0.072
7,2-Propenylbenzene,0.012
7,2_2-Dimethylbutane,0
7,2_2-Dimethylpropane,0.001
7,2_3-Butadione,0.54
7,2_3-Dihydro-1_4-Dioxin,0.005
7,2_5-Dihydrofuran,0.003
7,2_5-Dimethylfuran,0.194
7,3-Carene,0.03
7,3-Furaldehyde,0.043
7,3-Hexanone,0.059
7,3-Methyl-1-Butene,0.025
7,3-Methyl-2-Butanone,0.062
7,3-Methylfuran,0.059
7,3-Methylpentane,0.011
7,3-Methylstyrene,0.034
7,3-Pentanone,0.06
7,4-Methylstyrene,0.018
7,Acetaldehyde,1.546
7,Acetic Acid,1.837
7,Acetone,1.548
7,Acetonitrile,0.406
7,Acrolein,0.472
7,Acrylic Acid,0.093
7,Acrylonitrile,0.027
7,Benzaldehyde,0.544
7,Benzene,0.803
7,Benzenenitrile,0.124
7,Benzofuran,0.268
7,Butenyne,0.007
7,C10H14 non-aromatic,0.007
7,C11 Aromatics,0.274
7,CH4,13.94
7,CO,229
7,CO2,1408
7,Camphene,0.361
7,Crotonaldehyde,0.588
7,Cyclohexene,0.004
7,Cyclopentane,0.007
7,Cyclopentanone,0.281
7,Cyclopentene,0.07
7,Cyclopentenedione,0.023
7,Cyclopentenone,0.013
7,D-Limonene,2.647
7,Divinylacetylene,0.005
7,Ethane,2.723
7,Ethanol,0.019
7,Ethene,1.398
7,Ethyl Formate,0.017
7,Ethyl Xylene_i1,0.018
7,Ethyl Xylene_i2,0.01
7,Ethylbenzene,0.111
7,Ethylstyrene,0.008
7,Ethyne,0.207
7,Ethynyl Benzene,0.072
7,Formaldehyde,2.124
7,FormicAcid,0
7,Furan,0.855
7,Glycolaldehyde,0
7,Glycolic Acid,0.091
7,Heptadiyne_i1,0.003
7,Heptadiyne_i2,0.001
7,Hexenes,0.13
7,Hexenyne,0.008
7,Hydrogen Cyanide,0.723
7,Indane,0.013
7,Indene,0.04
7,Isobutylbenzene,0.017
7,Isocyanic Acid,0.293
7,Isoprene,0.374
7,Isopropylbenzene,0.006
7,Methacrolein,0.081
7,Methanol,3.517
7,Methyl Acetate,0.069
7,Methyl Acrylate,0.015
7,Methyl Diazine_i2,0.011
7,Methyl Diazine_i3,0.006
7,Methyl Ethyl Ketone,0.323
7,Methyl Formate,0.044
7,Methyl Propanoate,0.01
7,Methyl Vinyl Ketone,0.194
7,Methyl-n-Propylbenzene,0.015
7,MethylButanoate,0.035
7,MethylCyclopentadiene_i1,0.019
7,MethylCyclopentadiene_i2,0.019
7,MethylDiazine_i1,0.028
7,MethylMethacrylate,0.07
7,Methylbenzofuran,0
7,Methylbenzofuran_i1,0.027
7,Methylbenzofuran_i2,0.046
7,Methylbenzofuran_i3,0.066
7,Monoterpenes,0.82
7,Myrcene,0.058
7,NH3,0.48
7,NMOC,45.175
7,NOx,0
7,Naphthalene,0.645
7,Nonadiene,0.007
7,Nonane,0.034
7,Octadiene,0.057
7,Other C6H10,0.009
7,PM10,38.94
7,PM2.5,33
7,Pentadieneisomer,0.007
7,Pentenone,1.028
7,Pentenyneisomers,0.005
7,Phenol,0.15
7,Propanal,0.286
7,Propane,0.802
7,Propanenitrile,0.023
7,Propylene,1.06
7,Propyne,0.019
7,Pyrrole,0.021
7,Pyruvic Acid,0.045
7,Resorcinol,3.273
7,SO2,0
7,Sesquiterpenes,0.095
7,Styrene,0.064
7,Terpinolene,0.01
7,Tetrahydrofuran,0.001
7,Toluene,0.579
7,Vinyl Acetate,0
7,alpha-Methylstyrene,0.007
7,alpha-Pinene,2.65
7,beta-Pinene,0.316
7,cis-1_3-Hexadiene,0.004
7,cis-1_3-Pentadiene,0.032
7,cis-2-Butene,0.089
7,cis-2-Hexene,0.041
7,cis-2-Pentene,0.021
7,gamma-Terpinene,0.003
7,i-Butane,0.069
7,i-Pentane,0.03
7,iso-Limonene,0.011
7,"m,p-Xylenes",0.286
7,n-Butanal,0.048
7,n-Butane,0.195
7,n-Butylbenzene,0.025
7,n-Decane,0.027
7,n-Heptane,0.043
7,n-Hexanal,0.075
7,n-Hexane,0.061
7,n-Octane,0.036
7,n-Pentane,0.095
7,n-Propylbenzene,0.031
7,n-Undecane,0.05
7,o-Xylene,0.072
7,p-Cymene,0.422
7,trans-1_3-Hexadiene,0.012
7,trans-1_3-Pentadiene,0.052
7,trans-2-Butene,0.112
7,trans-2-Pentene,0.04
8,"1,2,3-Trimethylbenzene",0.029
8,"1,2,4-Trimethylbenzene",0.056
8,"1,3,5-Trimethylbenzene",0.021
8,1-Butanol,1.18
8,1-Butene,0.311
8,1-Butenylbenzene,0.002
8,1-Decene,0.022
8,1-Ethyl-2-Methylbenzene,0.012
8,"1-Ethyl-3-,4-Methylbenzene",0.043
8,1-Heptene,0.088
8,1-Hexene,0.011
8,1-Methyl-1-Propenylbenzene,0.005
8,1-Methylcyclohexane,0.009
8,1-Methylcyclohexene,0.01
8,1-Methylcyclopentane,0.015
8,1-Methylcyclopentene,0.019
8,1-Methylpyrazole,0.028
8,1-Methylpyrrole,0.015
8,1-Nonene,0.023
8,1-Octene,0.087
8,1-Pentene,0.083
8,1-Propenylbenzene,0.001
8,1-Undecene,0.036
8,1_1-Dimethylhydrazine,0
8,1_2-Butadiene,0
8,1_2-Butyne,0.014
8,1_2-Dihydronaphthalene,0.006
8,1_3-Butadiene,0.293
8,1_3-Butadiyne,0.009
8,1_3-CyclopentadienePIT,0.125
8,1_3-Dihydronaphthalene,0.007
8,1_3-MethylIndene,0.002
8,1_4-Diethylbenzene,0.002
8,2-Ethylfuran,0.048
8,2-Ethylpyrazine,0.021
8,2-Furaldehyde,0.647
8,2-Hexanone,0.01
8,2-Methyl-1-Butene,0.026
8,2-Methyl-1-Pentene,0.117
8,2-Methyl-2-Butenal,0.023
8,2-Methyl-2-Butene,0.027
8,2-Methylbutanal,0.092
8,2-Methylfuran,0.537
8,2-Methylpropanal,0.092
8,2-Methylpropene,0.246
8,2-Methylstyrene,0.019
8,2-Pentanone,0.097
8,2-Propenylbenzene,0.009
8,2_2-Dimethylbutane,0.002
8,2_2-Dimethylpropane,0.005
8,2_3-Butadione,0.694
8,2_3-Dihydro-1_4-Dioxin,0.016
8,2_5-Dihydrofuran,0
8,2_5-Dimethylfuran,0.076
8,3-Carene,0.023
8,3-Furaldehyde,0.059
8,3-Hexanone,0.054
8,3-Methyl-1-Butene,0.01
8,3-Methyl-2-Butanone,0.039
8,3-Methylfuran,0.073
8,3-Methylpentane,0.014
8,3-Methylstyrene,0.034
8,3-Pentanone,0.065
8,4-Methylstyrene,0.013
8,Acetaldehyde,2.7
8,Acetic Acid,7.3995
8,Acetone,1.39
8,Acetonitrile,0.739
8,Acrolein,0.59
8,Acrylic Acid,0.153
8,Acrylonitrile,0.151
8,Benzaldehyde,0.583
8,Benzene,0.586
8,Benzenenitrile,0.101
8,Benzofuran,0.908
8,Butenyne,0.018
8,C10H14 non-aromatic,0
8,C11 Aromatics,0.228
8,CH4,7.945
8,CO,257
8,CO2,1371
8,Camphene,0.081
8,Crotonaldehyde,0.494
8,Cyclohexene,0.006
8,Cyclopentane,0.012
8,Cyclopentanone,0.199
8,Cyclopentene,0.06
8,Cyclopentenedione,0.019
8,Cyclopentenone,0.201
8,D-Limonene,0.085
8,Divinylacetylene,0.016
8,Ethane,2.12
8,Ethanol,0.495
8,Ethene,1.4645
8,Ethyl Formate,0.024
8,Ethyl Xylene_i1,0.003
8,Ethyl Xylene_i2,0.002
8,Ethylbenzene,0.104
8,Ethylstyrene,0.002
8,Ethyne,0.157
8,Ethynyl Benzene,0.043
8,Formaldehyde,2.4765
8,FormicAcid,1.0945
8,Furan,1.265
8,Glycolaldehyde,3.72
8,Glycolic Acid,0.09
8,Heptadiyne_i1,0.005
8,Heptadiyne_i2,0.002
8,Hexenes,0.01
8,Hexenyne,0.021
8,Hydrogen Cyanide,1.988
8,Indane,0.01
8,Indene,0.051
8,Isobutylbenzene,0.008
8,Isocyanic Acid,0.271
8,Isoprene,0.079
8,Isopropylbenzene,0.006
8,Methacrolein,0.102
8,Methanol,4.6775
8,Methyl Acetate,0.277
8,Methyl Acrylate,0.045
8,Methyl Diazine_i2,0.009
8,Methyl Diazine_i3,0
8,Methyl Ethyl Ketone,0.422
8,Methyl Formate,0.049
8,Methyl Propanoate,0.002
8,Methyl Vinyl Ketone,0.421
8,Methyl-n-Propylbenzene,0.002
8,MethylButanoate,0.004
8,MethylCyclopentadiene_i1,0.028
8,MethylCyclopentadiene_i2,0.031
8,MethylDiazine_i1,0.044
8,MethylMethacrylate,0.076
8,Methylbenzofuran,0
8,Methylbenzofuran_i1,0.024
8,Methylbenzofuran_i2,0.038
8,Methylbenzofuran_i3,0.052
8,Monoterpenes,0.695
8,Myrcene,0.036
8,NH3,2.67
8,NMOC,61.6955
8,NOx,0.67
8,Naphthalene,0.815
8,Nonadiene,0
8,Nonane,0.023
8,Octadiene,0.05
8,Other C6H10,0.004
8,PM10,41.65
8,PM2.5,35.3
8,Pentadieneisomer,0.012
8,Pentenone,3.78
8,Pentenyneisomers,0.012
8,Phenol,2.6405
8,Propanal,0.353
8,Propane,0.797
8,Propanenitrile,0.024
8,Propylene,1.7905
8,Propyne,0.042
8,Pyrrole,0.051
8,Pyruvic Acid,0.269
8,Resorcinol,2.69
8,SO2,1.76
8,Sesquiterpenes,0.095
8,Styrene,0.117
8,Terpinolene,0.007
8,Tetrahydrofuran,0.006
8,Toluene,0.488
8,Vinyl Acetate,0
8,alpha-Methylstyrene,0.004
8,alpha-Pinene,0.084
8,beta-Pinene,0.092
8,cis-1_3-Hexadiene,0.004
8,cis-1_3-Pentadiene,0.036
8,cis-2-Butene,0.098
8,cis-2-Hexene,0.005
8,cis-2-Pentene,0.049
8,gamma-Terpinene,0.004
8,i-Butane,0.238
8,i-Pentane,0.136
8,iso-Limonene,0.002
8,"m,p-Xylenes",0.178
8,n-Butanal,0.114
8,n-Butane,0.479
8,n-Butylbenzene,0.013
8,n-Decane,0.027
8,n-Heptane,0.048
8,n-Hexanal,0.159
8,n-Hexane,0.11
8,n-Octane,0.039
8,n-Pentane,0.212
8,n-Propylbenzene,0.012
8,n-Undecane,0.043
8,o-Xylene,0.101
8,p-Cymene,0.059
8,trans-1_3-Hexadiene,0.008
8,trans-1_3-Pentadiene,0.054
8,trans-2-Butene,0.125
8,trans-2-Pentene,0.033
9,CH4,2.53
9,CO,68
9,CO2,1686
9,NH3,1.3
9,NOx,3.53
9,PM10,14.21
9,PM2.5,12.08
9,SO2,0.83
