regionname,efgroupname,phase,species,EF,SD,n,citeShort
SE,mixed forest,average,CO,87.5129679892593,38.3174953700383,54.0,"Akagi et al., 2013, Aurell et al., 2015, Burling et al., 2011, Mickler et al. 2007, Strand et al., 2013, Urbanski et al., 2009, White, 1987, Yokelson et al., 1999"
SE,mixed forest,average,CO2,1620.85803515217,156.092215823307,46.0,"Akagi et al., 2013, Aurell et al., 2015, Burling et al., 2011, Mickler et al. 2007, Strand et al., 2013, Urbanski et al., 2009, Yokelson et al., 1999"
SE,mixed forest,average,NH3,0.707909090909091,1.34838704027798,22.0,"Akagi et al., 2013, Burling et al., 2011, Strand et al., 2013, Yokelson et al., 1999"
SE,mixed forest,average,NOx,2.03823529411765,1.15805459334889,17.0,"Akagi et al., 2013, Burling et al., 2011, Mickler et al. 2007, Strand et al., 2013"
SE,mixed forest,average,PM2.5,14.784673665,0.935908639802801,4.0,"Urbanski et al., 2009"
SE,mixed forest,average,SO2,0.908052547857143,0.366878636082463,14.0,"Burling et al., 2010, McMeeking et al., 2009, Mickler et al. 2007, Selimovic et al., 2018"
SE,mixed forest,flaming,CH4,2.46518372768571,1.21600502039441,35.0,"Akagi et al., 2013, Burling et al., 2011, Strand et al., 2013, Urbanski et al., 2009, Yokelson et al., 1999"
SE,mixed forest,flaming,CO,75.9563964283333,20.5118783035891,36.0,"Akagi et al., 2013, Aurell et al., 2015, Burling et al., 2011, Strand et al., 2013, Urbanski et al., 2009, Yokelson et al., 1999"
SE,mixed forest,flaming,CO2,1676.40193380556,35.3608121331044,36.0,"Akagi et al., 2013, Aurell et al., 2015, Burling et al., 2011, Strand et al., 2013, Urbanski et al., 2009, Yokelson et al., 1999"
SE,mixed forest,flaming,NH3,0.284625,0.303105454696326,16.0,"Akagi et al., 2013, Burling et al., 2011, Strand et al., 2013, Yokelson et al., 1999"
SE,mixed forest,flaming,NOx,2.27461538461538,1.20557465816525,13.0,"Akagi et al., 2013, Burling et al., 2011, Strand et al., 2013"
SE,mixed forest,flaming,SO2,0.968573567,0.294707878989294,10.0,"Burling et al., 2010, McMeeking et al., 2009, Selimovic et al., 2018"
SE,mixed forest,smoldering,CH4,10.655,8.90275856125504,6.0,"Akagi et al., 2013, Burling et al., 2011, Strand et al., 2013"
SE,mixed forest,smoldering,CO,159.375,34.4671168341238,8.0,"Akagi et al., 2013, Aurell et al., 2015, Burling et al., 2011, Strand et al., 2013"
SE,mixed forest,smoldering,CO2,1441.125,177.761025376366,8.0,"Akagi et al., 2013, Aurell et al., 2015, Burling et al., 2011, Strand et al., 2013"
SE,mixed forest,smoldering,NH3,1.83666666666667,2.29310851611228,6.0,"Akagi et al., 2013, Burling et al., 2011, Strand et al., 2013"
SE,mixed forest,smoldering,NOx,1.1,0.141421356237309,2.0,"Strand et al., 2013"
SE,mixed forest,smoldering,SO2,1.0235,0.740340799902315,2.0,"Burling et al., 2010, McMeeking et al., 2009"
SE,shrubland,average,CH4,2.181136367,0.453862708134564,5.0,"Urbanski et al., 2009"
SE,shrubland,average,CO,75.269947828,9.33947795334797,5.0,"Urbanski et al., 2009"
