g/kg,,Urbanski + Liu (1-8),,,,,,,,Revised (9-32),,,,,,,,,,,,,,,,,,,,,,,,,,
,,SE pine,Boreal,Rx NW Conifer,WF NW Conifer,W Shrub,Grass,Residual CWD,Residual Duff,SE grass F/S,SE Grass F,SE Grass S,SE Hdwd F/S,SE Hdwd F,SE Hdwd S,SE Pine F/S,SE Pine F,SE Pine S,SE Shrub F/S,SE Shrub F,SE Shrub S,W MC F/S,W MC F,W MC S,W Grass F/S,W Grass F,W Grass S,W Hdwd F/S,W Hdwd F,W Hdwd S,W Shrub F/S,W Shrub F,W Shrub S,Boreal F/S,Boreal F,Boreal S
2_5-Dimethylfuran,C6H8O,0.031,0.031,0.036,,0.0208,0.0208,0.194,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Ethylfuran,C6H8O,0.009,0.017,0.02,,0.0094,0.0094,0.036,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Ethylpyrazine,C6H8N2,0.004,0.006,0.007,,0.00415,0.00415,0.014,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Furaldehyde,C5H4O2,0.067,0.45,0.528,,0.279,0.279,0.067,0.647,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Hexanone,C6H12O,0.007,0.01,0.012,,0.0153,0.0153,0.023,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Methyl-1-Butene,C5H10,0.019,0.015,0.017,,0.00965,0.00965,0.046,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Methyl-1-Pentene,C6H12,0.035,0.049,0.057,,0.0674,0.0674,0.114,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Methyl-2-Butenal,C5H8O,0.005,0.007,0.008,,0.0059,0.0059,0.24,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Methyl-2-Butene,C5H10,0.024,0.025,0.03,,0.0147,0.0147,0.072,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Methylbutanal,C5H10O,0.026,0.036,0.042,,0.0422,0.0422,0.083,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Methylfuran,C5H6O,0.007,0.009,0.011,,0.159,0.159,0.646,0.537,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Methylpropanal,C4H8O,0.021,0.034,0.04,,0.0439,0.0439,0.114,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Methylpropene,C4H8,0.053,0.073,0.086,,0.0262,0.0262,0.171,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Methylstyrene,C9H10,0.006,0.009,0.01,,0.0135,0.0135,0.02,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Pentanone,C5H10O,0.022,0.031,0.036,,0.0524,0.0524,0.072,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Propenylbenzene,C9H10,0.004,0.005,0.006,,0.00595,0.00595,0.012,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Carene,C10H16,0.009,0.013,0.015,,0.0189,0.0189,0.03,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Furaldehyde,C5H4O2,0.013,0.019,0.022,,0.0118,0.0118,0.043,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Hexanone,C6H12O,0.018,0.025,0.029,,0.033,0.033,0.059,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Methyl-1-Butene,C5H10,0.014,0.004,0.005,,0.0033,0.0033,0.025,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Methyl-2-Butanone,C5H10O,0.011,0.023,0.027,,0.0228,0.0228,0.062,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Methylfuran,C5H6O,0.018,0.025,0.03,,0.0129,0.0129,0.059,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Methylpentane,C6H14,0.003,0.018,0.005,0.0061,0.0032,0.0032,0.011,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Methylstyrene,C9H10,0.01,0.015,0.017,,0.02,0.02,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Pentanone,C5H10O,0.018,0.026,0.03,,0.03,0.03,0.06,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-Methylstyrene,C9H10,0.005,0.008,0.009,,0.0062,0.0062,0.018,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetaldehyde,CH3CHO,0.641,0.953,1.119,1.64,0.563,0.563,1.546,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetic Acid,CH3COOH,1.489,2.42,3.02,,1.91,1.91,1.837,7.3995,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetone,C3H6O,0.651,0.37,0.575,1.13,0.31,0.31,1.548,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acetonitrile,CH3CN,0.032,0.3,0.215,0.25,0.146,0.146,0.406,0.739,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrolein,C3H4O,0.323,0.291,0.342,,0.386,0.386,0.472,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrylic Acid,C3H4O2,0.029,0.04,0.047,,0.00975,0.00975,0.093,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrylonitrile,C3H3N,0.054,0.029,0.034,0.25,0.026,0.026,0.027,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha-Methylstyrene,C9H10,0.002,0.003,0.003,,0.0047,0.0047,0.007,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,
alpha-Pinene,C10H16,0.094,0.81,0.052,0.017,0.0163,0.0163,2.65,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzaldehyde,C7H6O,0.168,0.233,0.274,,0.243,0.243,0.544,0.583,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzene,C6H6,0.283,0.55,0.3,0.43,0.451,0.451,0.803,0.586,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzenenitrile,C7H5N,0.038,0.053,0.062,,0.0557,0.0557,0.124,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benzofuran,C8H6O,0.083,0.115,0.135,,0.103,0.103,0.268,0.908,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta-Pinene,C10H16,0.052,0.72,0.026,0.01,0.0133,0.0133,0.316,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butenyne,C4H4,0.002,0.003,0.003,,0.00935,0.00935,0.007,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,
C10H14 non-aromatic,C10H14,0.002,0.003,0.004,,0.0024,0.0024,0.007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
C11 Aromatics,C11,0.084,0.117,0.138,,0.0547,0.0547,0.274,0.228,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camphene,C10H16,0.008,0.024,0.028,,0.00945,0.00945,0.361,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,
cis-1_3-Hexadiene,C6H10,0.001,0.002,0.002,,0.0019,0.0019,0.004,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,
cis-1_3-Pentadiene,C5H8,0.01,0.014,0.016,,0.0221,0.0221,0.032,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,
