g/kg,,Urbanski + Liu (1-8),,,,,,,,Revised (9-32),,,,,,,,,,,,,,,,,,,,,,,,,,
,,SE pine,Boreal,Rx NW Conifer,WF NW Conifer,W Shrub,Grass,Residual CWD,Residual Duff,SE grass F/S,SE Grass F,SE Grass S,SE Hdwd F/S,SE Hdwd F,SE Hdwd S,SE Pine F/S,SE Pine F,SE Pine S,SE Shrub F/S,SE Shrub F,SE Shrub S,W MC F/S,W MC F,W MC S,W Grass F/S,W Grass F,W Grass S,W Hdwd F/S,W Hdwd F,W Hdwd S,W Shrub F/S,W Shrub F,W Shrub S,Boreal F/S,Boreal F,Boreal S
n-Propylbenzene,C9H12,0.005,0.009,0.01,,0.0096,0.0096,0.031,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Undecane,C11H24,0.016,0.022,0.025,,0.0189,0.0189,0.05,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naphthalene,C10H8,0.199,0.277,0.325,,0.173,0.173,0.645,0.815,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nonadiene,C9H16,0.002,0.003,0.003,,0.00205,0.00205,0.007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nonane,C9H20,0.019,0.012,0.014,,0.013,0.013,0.034,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,
o-Xylene,C8H10,0.025,0.027,0.05,0.038,0.038,0.038,0.072,0.101,,,,,,,,,,,,,,,,,,,,,,,,,,,
Octadiene,C8H14,0.018,0.024,0.029,,0.0231,0.0231,0.057,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other C6H10,isomer4,0.153,0.187,0.219,,0.00295,0.00295,0.436,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other C6H10,isomer1_C6H10,0.007,0.009,0.011,,0.0015,0.0015,0.021,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other C6H10,isomer2_C6H10,0.001,0.001,0.001,,0.0017,0.0017,0.002,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other C6H10,isomer3_C6H10,0.001,0.002,0.002,,0.0155,0.0155,0.004,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other C6H10,isomer5_C6H10,0.003,0.004,0.005,,0.0013,0.0013,0.009,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,
p-Cymene,C10H14,0.002,0.071,0.083,,0.117,0.117,0.422,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pentadieneisomer,C5H8,0.002,0.003,0.003,,0.00615,0.00615,0.007,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pentenone,C5H8O,0.317,0.44,0.517,,0.231,0.231,1.028,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pentenyneisomers,C5H6,0.002,0.002,0.003,,0.00825,0.00825,0.005,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phenol,C6H5OH,0.282,0.473,0.8,,0.453,0.453,0.15,2.6405,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propanal,C3H6O,0.088,0.123,0.144,1.13,0.0969,0.0969,0.286,0.353,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propane,C3H8,0.094,0.23,0.242,0.24,0.889,0.889,0.802,0.797,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propanenitrile,C3H5N,0.007,0.01,0.012,,0.0117,0.0117,0.023,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propylene,C3H6,0.426,0.445,0.723,,0.532,0.532,1.06,1.7905,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propyne,C3H4,0.056,0.029,0.033,,0.0283,0.0283,0.019,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyrrole,C4H5N,0.006,0.009,0.01,,0.0127,0.0127,0.021,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyruvic Acid,C3H4O3,0.014,0.019,0.023,,0.00885,0.00885,0.045,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resorcinol,C6H6O2,1.009,1.402,1.647,,0.189,0.189,3.273,2.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sesquiterpenes,C15H24,0.05,0.07,0.082,,0.0167,0.163,0.095,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,
Styrene,C8H8,0.04,0.059,0.069,,0.0881,0.0881,0.064,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terpinolene,C10H16,0.003,0.004,0.005,,0.0068,0.0068,0.01,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetrahydrofuran,C4H8O,0,0,0,,0.0016,0.0016,0.001,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toluene,C6H5CH3,0.199,0.24,0.229,0.24,0.174,0.174,0.579,0.488,,,,,,,,,,,,,,,,,,,,,,,,,,,
trans-1_3-Hexadiene,C6H10,0.004,0.005,0.006,,0.00375,0.00375,0.012,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,
trans-1_3-Pentadiene,C5H8,0.023,0.022,0.026,,0.0264,0.0264,0.052,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,
trans-2-Butene,C4H8,0.035,0.02,0.046,0.0068,0.0156,0.0156,0.112,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
trans-2-Pentene,C5H10,0.016,0.015,0.018,,0.0132,0.0132,0.04,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinyl Acetate,C4H6O2,0,0,0,,0.00035,0.00035,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2-Dichloroethane",,,,,0.00082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2-Propadiene",,,,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Butyl nitrate,,,,,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Pentyl nitrate,,,,,0.00028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,3-Butanedione",,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2,3-Dimethylbutane",,,,,0.00096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Methyl-2-butyl nitrate,,,,,0.00039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-Pentyl nitrate,,,,,0.00024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammonium,,,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butadiene hydroxynitrates,,,,,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butene hydroxynitrates,,,,,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4-dihydroxycarbonyls,,,,,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4-hydroxydicarbonyls/ C5-alkenediols,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbonyl sulfide,,,,,0.0059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chloride,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dibromomethane,,,,,0.00018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dichloromethane,,,,,0.0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimethyl sulfide,,,,,0.0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethanal nitrate,,,,,0.0027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethene hydroxynitrate,,,,,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethyl nitrate,,,,,0.00084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCFC-141b,,,,,0.00097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCFC-142b,,,,,0.00026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFC-152a,,,,,0.00068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrochloric acid,,,,,0.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen peroxide,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydroperoxy acetone,,,,,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydroxyacetone,,,,,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydroxymethylhydrogenperoxide,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i-Butene,,,,,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i-Propyl nitrate,,,,,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isoprene hydroperoxyaldehydes,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isoprene hydroxy hydroperoxides/ isoprene epoxydiols,,,,,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isoprene hydroxynitrates,,,,,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl bromide,,,,,0.00081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl chloride,,,,,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl iodide,,,,,0.00037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl nitrate,,,,,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methyl vinyl ketone / methacrolein hydroxynitrates,,,,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n-Propyl nitrate,,,,,0.00044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrate,,,,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen dioxide,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen monoxide,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitroxyhydroperoxide/nitroxyhydroxyepoxide,,,,,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic aerosol,,,,,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peroxyacetic acid/hydroperoxy glycolaldehyde,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propanone nitrate,,,,,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propene,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Propene hydroxynitrates,,,,,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sulfate,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
