Units = lb/ton,,Group 1,Group 2,Group 3,Group 4,Group 5,Group 6,Group 7,Group 8
Pollutant,Formula,Southeastern Forest,Boreal Forest,Western Forest - Rx,Western Forest - WF,Shrubland,Grassland,Woody RSC,Duff RSC
Benzene ,C6H6,0.5660,1.1000,0.6000,0.8040,0.9020,0.9020,1.6060,1.1720
Divinylacetylene ,C6H6,0.0040,0.0040,0.0060,0.0060,0.0136,0.0136,0.0100,0.0320
MethylCyclopentadiene_i1,isomer1_C6H8,0.0120,0.0160,0.0200,0.0260,0.0115,0.0115,0.0380,0.0560
MethylCyclopentadiene_i2,isomer2_C6H8,0.0120,0.0160,0.0200,0.0260,0.0108,0.0108,0.0380,0.0620
Hexenyne ,C6H8,0.0040,0.0060,0.0080,0.0100,0.0124,0.0124,0.0160,0.0420
cis-1_3-Hexadiene ,C6H10,0.0020,0.0040,0.0040,0.0060,0.0038,0.0038,0.0080,0.0080
trans-1_3-Hexadiene ,C6H10,0.0080,0.0100,0.0120,0.0160,0.0075,0.0075,0.0240,0.0160
1-Methylcyclopentene ,C6H10,0.0060,0.0080,0.0080,0.0120,0.0234,0.0234,0.0180,0.0380
Cyclohexene ,C6H10,0.0180,0.0260,0.0300,0.0420,0.0232,0.0232,0.0620,0.0300
Other C6H10 ,isomer1_C6H10,0.0140,0.0180,0.0220,0.0280,0.0030,0.0030,0.0420,0.0020
Other C6H10 ,isomer2_C6H10,0.0020,0.0020,0.0020,0.0020,0.0034,0.0034,0.0040,0.0080
Other C6H10 ,isomer3_C6H10,0.0020,0.0040,0.0040,0.0040,0.0310,0.0310,0.0080,0.0320
2-Methylfuran ,C5H6O,0.0140,0.0180,0.0220,0.0300,0.3180,0.3180,1.2920,1.0740
Other C6H10 ,isomer5_C6H10,0.0060,0.0080,0.0100,0.0120,0.0026,0.0026,0.0180,0.0080
1-Methylpyrazole ,C4H6N2,0.0020,0.0040,0.0040,0.0060,0.0102,0.0102,0.0080,0.0560
2-Methyl-1-Pentene ,C6H12,0.0700,0.0980,0.1140,0.1540,0.1348,0.1348,0.2280,0.2340
1-Hexene ,C6H12,0.0720,0.1020,0.1200,0.1600,0.1346,0.1346,0.2360,0.0220
Cyclohexene ,C6H12,0.0020,0.0040,0.0040,0.0060,0.0035,0.0035,0.0080,0.0120
Hexenes ,sum3isos_C6H12,0.0800,0.1120,0.1320,0.1760,0.1142,0.1142,0.2600,0.0200
cis-2-Hexene ,C6H12,0.0260,0.0360,0.0420,0.0560,0.0294,0.0294,0.0820,0.0100
2_2-Dimethylbutane ,C6H14,0.0000,0.0000,0.0000,0.0000,0.0001,0.0001,0.0000,0.0040
n-Hexane ,C6H14,0.0240,0.0540,0.0640,0.0840,0.0185,0.0185,0.1220,0.2200
3-Methylpentane ,C6H14,0.0060,0.0360,0.0100,0.0140,0.0064,0.0064,0.0220,0.0280
Phenol ,C6H5OH,0.5640,0.9460,1.6000,1.7300,0.9060,0.9060,0.3000,5.2810
2-Ethylfuran ,C6H8O,0.0180,0.0340,0.0400,0.0540,0.0188,0.0188,0.0720,0.0960
2_5-Dimethylfuran ,C6H8O,0.0620,0.0620,0.0720,0.0960,0.0416,0.0416,0.3880,0.1520
n-Hexanal ,C6H12O,0.0460,0.0640,0.0760,0.1020,0.0326,0.0326,0.1500,0.3180
3-Hexanone ,C6H12O,0.0360,0.0500,0.0580,0.0780,0.0660,0.0660,0.1180,0.1080
2-Hexanone ,C6H12O,0.0140,0.0200,0.0240,0.0320,0.0306,0.0306,0.0460,0.0200
2-Ethylpyrazine ,C6H8N2,0.0080,0.0120,0.0140,0.0200,0.0083,0.0083,0.0280,0.0420
Resorcinol ,C6H6O2,2.0180,2.8040,3.2940,4.4120,0.3780,0.3780,6.5460,5.3800
Toluene ,C6H5CH3,0.3980,0.4800,0.4580,0.6140,0.3480,0.3480,1.1580,0.9760
Heptadiyne_i1 ,isomer1_C7H8,0.0020,0.0020,0.0040,0.0040,0.0041,0.0041,0.0060,0.0100
Heptadiyne_i2 ,isomer2_C7H8,0.0000,0.0000,0.0000,0.0000,0.0048,0.0048,0.0020,0.0040
1-Methylcyclohexene ,C7H12,0.0120,0.0160,0.0200,0.0260,0.0056,0.0056,0.0380,0.0200
1-Heptene ,C7H14,0.0500,0.0760,0.0900,0.1200,0.1048,0.1048,0.1780,0.1760
1-Methylcyclohexane ,C7H14,0.0060,0.0080,0.0080,0.0120,0.0056,0.0056,0.0180,0.0180
