GeneratorName=FCCS 3.0,GeneratorVersion=3.0.0,DateCreated=11/14/2014
fuelbed_number,filename,cover_type,ecoregion,overstory_loading,midstory_loading,understory_loading,snags_c1_foliage_loading,snags_c1wo_foliage_loading,snags_c1_wood_loading,snags_c2_loading,snags_c3_loading,shrubs_primary_loading,shrubs_secondary_loading,shrubs_primary_perc_live,shrubs_secondary_perc_live,nw_primary_loading,nw_secondary_loading,nw_primary_perc_live,nw_secondary_perc_live,w_sound_0_quarter_loading,w_sound_quarter_1_loading,w_sound_1_3_loading,w_sound_3_9_loading,w_sound_9_20_loading,w_sound_gt20_loading,w_rotten_3_9_loading,w_rotten_9_20_loading,w_rotten_gt20_loading,w_stump_sound_loading,w_stump_rotten_loading,w_stump_lightered_loading,litter_depth,litter_loading,lichen_depth,lichen_loading,moss_depth,moss_loading,basal_accum_loading,squirrel_midden_loading,ladderfuels_loading,duff_lower_depth,duff_lower_loading,duff_upper_depth,duff_upper_loading,pile_clean_loading,pile_dirty_loading,pile_vdirty_loading,Total_available_fuel_loading,efg_natural,efg_activity
0,FB_0000_FCCS.xml,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8,8
1,FB_0001_FCCS.xml,13,240.000000,19.441261,8.724524,0.513638,0.000000,1.304389,0.000000,0.250149,1.176212,2.695305,0.000000,95.000000,0.000000,0.200000,0.000000,90.000000,0.000000,0.200000,0.800000,3.500000,0.500000,0.500000,0.000000,3.000000,4.000000,5.000000,0.000000,0.029405,0.000000,0.500000,1.304750,0.100000,0.002500,0.500000,0.300000,0.000000,0.000000,0.000000,1.500000,33.000000,0.500000,4.000000,0.000000,0.000000,0.000000,60.458324,9,9
2,FB_0002_FCCS.xml,131,240.000000,13.562624,7.043651,0.355776,0.069598,0.000000,23.021986,12.864821,6.432411,1.869412,1.895328,90.000000,90.000000,0.150000,0.010000,85.000000,60.000000,1.000000,2.000000,4.000000,2.000000,3.000000,6.000000,1.000000,3.000000,4.000000,0.000000,0.091891,0.000000,0.500000,1.455970,0.100000,0.001500,0.500000,0.112500,0.000000,0.000000,0.500000,2.500000,42.750004,0.500000,3.000000,0.000000,0.000000,0.000000,98.703438,8,1
3,FB_0003_FCCS.xml,136,240.000000,8.566302,0.000000,0.585708,0.000000,0.000000,0.000000,2.297290,2.297290,1.419839,0.000000,85.000000,0.000000,0.300000,0.010000,90.000000,50.000000,2.500000,3.500000,3.600000,10.700001,0.000000,0.000000,2.500000,0.000000,0.000000,0.000000,6.616141,0.000000,0.750000,2.148187,0.000000,0.000000,0.500000,0.007500,0.000000,0.000000,0.500000,1.800000,30.779999,0.750000,5.940000,0.000000,1.775982,0.000000,76.892227,8,1
4,FB_0004_FCCS.xml,118,240.000000,3.503858,0.000000,0.249043,0.004194,0.000000,0.274071,0.000000,0.000000,5.400000,0.510363,70.000000,90.000000,0.500000,0.100000,90.000000,90.000000,0.200000,0.300000,3.800000,0.000000,0.000000,0.000000,12.000001,7.000000,4.500000,0.000000,13.232283,0.000000,0.750000,2.268750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,9.000000,0.500000,2.000000,0.163028,0.000000,0.000000,60.978615,8,1
5,FB_0005_FCCS.xml,118,240.000000,13.201457,6.339287,1.395140,0.033299,0.000000,3.471569,0.918916,0.737685,2.975991,0.000000,90.000000,0.000000,0.200000,0.010000,50.000000,50.000000,0.500000,1.600000,3.300000,4.300000,8.900001,3.400000,0.800000,1.600000,0.600000,0.022108,0.036756,0.000000,2.000000,4.981000,0.000000,0.000000,0.000000,0.000000,0.005033,0.000000,0.500000,0.600000,9.612001,0.500000,3.560000,0.000000,0.000000,0.000000,50.092789,8,1
6,FB_0006_FCCS.xml,140,240.000000,5.619239,6.510805,0.103491,0.009325,0.000000,7.162395,0.000000,7.822155,2.775789,0.000000,90.000000,0.000000,0.600000,0.100000,75.000000,60.000000,0.100000,0.400000,0.800000,2.600000,2.200000,0.000000,0.300000,0.700000,0.700000,0.210485,0.122521,0.000000,0.500000,1.249500,0.100000,0.000150,0.100000,0.031800,0.003730,0.000000,0.000000,0.200000,3.420000,0.100000,0.760000,0.135985,0.000000,0.000000,25.041443,9,9
7,FB_0007_FCCS.xml,136,240.000000,11.499841,7.405896,0.392040,0.000000,0.000000,0.000000,0.000000,1.829664,0.865338,0.000000,95.000000,0.000000,0.020000,0.000000,95.000000,0.000000,1.000000,3.200000,1.900000,0.600000,0.700000,1.700000,4.900000,5.400000,14.200001,0.000000,0.000000,0.000000,0.400000,1.191960,0.200000,0.002000,0.500000,0.075000,0.000000,0.000000,3.000000,0.900000,16.037998,0.400000,3.168000,0.066061,0.000000,0.000000,59.856026,8,1
8,FB_0008_FCCS.xml,135,240.000000,6.554909,9.987612,0.343270,0.155353,0.000000,32.888554,4.423049,2.948699,1.109114,0.576180,75.000000,90.000000,0.010000,0.010000,90.000000,60.000000,1.000000,2.000000,4.000000,10.000000,20.000000,10.000000,2.000000,10.000000,5.000000,0.000000,0.091891,0.000000,1.000000,2.974950,0.100000,0.001500,0.700000,0.105000,0.000000,0.000000,0.500000,3.000000,53.459999,2.000000,15.840000,0.000000,0.000000,0.000000,146.205734,8,1
9,FB_0009_FCCS.xml,135,240.000000,8.193636,0.000000,2.406917,0.000000,0.000000,0.000000,4.594579,3.445935,1.744756,0.000000,85.000000,0.000000,0.150000,0.000000,90.000000,0.000000,1.500000,2.600000,2.500000,2.000000,3.700000,7.000000,4.700000,8.000000,20.000000,0.000000,1.482506,0.000000,0.500000,1.505000,0.100000,0.001500,0.500000,0.150000,0.000000,0.000000,0.500000,1.000000,18.000000,0.500000,3.840000,0.027473,0.000000,0.000000,88.941757,8,1
10,FB_0010_FCCS.xml,130,240.000000,11.747087,13.375619,0.658366,0.077677,0.000000,4.677483,0.612611,0.408407,0.848785,0.706928,75.000000,90.000000,0.300000,0.050000,60.000000,80.000000,1.300000,1.000000,1.000000,5.000000,35.000000,5.000000,2.000000,10.000000,5.000000,0.000000,0.091891,0.000000,1.000000,2.854750,0.100000,0.006000,0.700000,0.210000,0.000000,0.000000,0.500000,2.000000,34.200001,3.000000,22.800001,0.000000,0.000000,0.000000,128.967056,8,1
11,FB_0011_FCCS.xml,130,240.000000,12.195580,0.000000,0.159234,0.007282,0.000000,0.433278,0.245044,6.891870,0.252873,0.706928,75.000000,90.000000,0.200000,0.050000,80.000000,60.000000,1.000000,2.000000,4.000000,5.000000,5.000000,5.000000,5.000000,5.000000,5.000000,0.000000,1.914393,0.000000,1.000000,2.404000,0.100000,0.000500,0.700000,0.210000,0.000000,0.000000,0.500000,0.500000,7.200000,0.750000,4.800000,0.017849,0.000000,0.000000,62.400738,8,1
12,FB_0012_FCCS.xml,112,260.000000,16.115587,0.000000,0.094356,0.111162,0.000000,7.143686,10.368830,1.172307,0.029341,0.000000,75.000000,0.000000,0.050000,0.010000,75.000000,55.000000,0.300000,0.600000,1.100000,0.600000,4.500000,7.000000,0.500000,3.600000,5.000000,0.000000,0.004633,0.000000,1.300000,3.276325,0.000000,0.000000,0.400000,0.012000,0.044539,0.000000,0.040000,0.600000,12.672002,0.800000,6.144000,0.000000,0.000000,0.000000,57.135139,8,1
13,FB_0013_FCCS.xml,112,240.000000,3.889821,0.000000,0.370870,0.019886,0.000000,2.480877,14.743497,3.685874,0.595478,0.576465,90.000000,95.000000,0.200000,0.000000,85.000000,0.000000,0.400000,0.600000,1.000000,13.000001,4.000000,7.000000,3.000000,1.000000,7.000000,0.000000,0.000000,0.000000,0.200000,0.437124,0.200000,0.005000,0.300000,0.045000,0.000000,0.000000,0.040000,0.800000,12.848001,0.800000,4.672000,0.000000,0.000000,0.000000,74.868332,8,1
14,FB_0014_FCCS.xml,153,260.000000,19.601997,0.000000,0.032670,0.000000,0.000000,0.000000,0.000000,0.000000,0.287354,0.000000,75.000000,0.000000,0.100000,0.000000,80.000000,0.000000,0.250000,0.500000,0.900000,1.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.500000,1.867500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100000,0.720000,0.400000,1.920000,0.000000,0.000000,0.000000,7.794854,9,9
15,FB_0015_FCCS.xml,154,260.000000,13.972305,0.000000,0.402696,0.008496,0.000000,1.175152,5.881061,1.148645,6.364981,0.048180,90.000000,90.000000,0.040000,0.010000,60.000000,75.000000,0.080000,0.700000,0.230000,1.750000,5.000000,6.000000,0.500000,2.000000,2.000000,0.103907,0.016540,0.000000,1.100000,2.494624,0.000000,0.000000,0.000000,0.000000,0.053305,0.000000,0.000000,3.700000,50.616001,0.800000,4.864000,0.000000,0.000000,0.000000,89.909744,8,3
16,FB_0016_FCCS.xml,150,240.000000,3.600887,4.168561,0.564067,0.043693,0.000000,18.784109,4.574159,0.000000,1.930923,0.000000,80.000000,0.000000,0.100000,0.100000,70.000000,70.000000,0.300000,1.400000,1.800000,0.800000,2.500000,0.000000,0.700000,2.500000,0.000000,0.000000,0.000000,0.000000,1.000000,2.648800,0.000000,0.000000,0.000000,0.000000,0.008002,0.000000,0.000000,0.500000,7.920001,0.500000,3.520000,0.000000,0.000000,0.000000,32.345577,8,4
17,FB_0017_FCCS.xml,114,260.000000,24.652784,0.000000,0.321995,0.022089,0.000000,2.121802,15.219543,1.823588,0.000000,0.000000,0.000000,0.000000,0.060000,0.000000,70.000000,0.000000,0.900000,3.100000,3.000000,1.000000,1.000000,1.000000,1.000000,0.800000,0.000000,0.000000,0.000000,0.000000,1.600000,4.128000,0.000000,0.000000,0.500000,0.037500,0.046254,0.000000,0.000000,2.600000,40.716000,2.000000,13.920001,0.000000,0.000000,0.000000,87.772980,8,4
18,FB_0018_FCCS.xml,118,240.000000,0.804989,6.359411,0.350386,0.203306,0.000000,15.281102,0.432095,1.793846,0.298151,0.055606,75.000000,95.000000,0.100000,0.070000,65.000000,65.000000,0.400000,0.800000,0.200000,1.100000,2.700000,6.300000,0.900000,0.800000,0.000000,0.107828,0.459454,0.000000,0.300000,0.714000,0.100000,0.003500,0.100000,0.023250,0.000042,0.000000,0.500000,0.600000,9.180000,0.200000,1.360000,0.000000,0.000000,0.000000,28.501080,8,1
19,FB_0019_FCCS.xml,119,260.000000,5.807240,8.204849,4.377126,0.000000,0.000000,0.000000,0.000000,37.179337,0.075600,0.000000,90.000000,0.000000,0.010000,0.000000,60.000000,0.000000,0.500000,1.500000,3.000000,0.500000,4.000000,19.000000,0.700000,2.500000,8.000000,0.000000,0.000000,0.000000,1.200000,3.061020,0.000000,0.000000,0.000000,0.000000,0.004307,0.000000,0.000000,1.400000,21.419998,0.700000,4.760000,0.204163,0.000000,0.000000,106.414436,8,4
