Units = g/kg,,,,,,,,,,,
Pollutant,Formula,SE Forest,Boreal Forest,Western Forest (WF),SW Forest (Rx),NW Forest (Rx),Shrub,Grass,CWD Residual,Temperate Residual,Boreal Residual
Methyl Acrylate ,C4H6O2,0.005,0.007,0.010,,,0.008,0.008,0.015,0.045,0.045
"2,3-Dihydro-1,4-Dioxin ",C4H6O2,0.002,0.002,0.004,,,0.003,0.003,0.005,0.016,0.016
Methyl Propanoate ,C4H8O2,0.003,0.004,0.007,,,0.010,0.010,0.01,0.002,0.002
"1,3-CyclopentadienePIT ",C5H6,0.028,0.039,0.061,,,0.026,0.026,0.09,0.125,0.125
Pentenyneisomers ,C5H6,0.002,0.002,0.004,,,0.008,0.008,0.005,0.012,0.012
Isoprene ,C5H8,0.140,0.074,0.129,,,0.047,0.047,0.374,0.079,0.079
"trans-1,3-Pentadiene ",C5H8,0.023,0.022,0.035,,,0.026,0.026,0.052,0.054,0.054
"cis-1,3-Pentadiene ",C5H8,0.010,0.014,0.022,,,0.022,0.022,0.032,0.036,0.036
Cyclopentene ,C5H8,0.045,0.027,0.043,,,0.041,0.041,0.07,0.06,0.06
Pentadieneisomer ,C5H8,0.002,0.003,0.005,,,0.006,0.006,0.007,0.012,0.012
Cyclopentane ,C5H10,0.002,0.003,0.005,,,0.001,0.001,0.007,0.012,0.012
1-Pentene ,C5H10,0.030,0.034,0.054,,,0.018,0.018,0.065,0.083,0.083
2-Methyl-1-Butene ,C5H10,0.019,0.015,0.023,,,0.010,0.010,0.046,0.026,0.026
trans-2-Pentene ,C5H10,0.016,0.015,0.024,,,0.013,0.013,0.04,0.033,0.033
3-Methyl-1-Butene ,C5H10,0.014,0.004,0.007,,,0.003,0.003,0.025,0.01,0.01
cis-2-Pentene ,C5H10,0.009,0.037,0.058,,,0.032,0.032,0.021,0.049,0.049
2-Methyl-2-Butene ,C5H10,0.024,0.025,0.040,,,0.015,0.015,0.072,0.027,0.027
"2,2-Dimethylpropane ",C5H12,0.000,0.001,0.001,,,0.000,0.000,0.001,0.005,0.005
i-Pentane ,C5H12,0.028,0.019,0.056,,,0.009,0.009,0.03,0.136,0.136
n-Pentane ,C5H12,0.007,0.027,0.074,,,0.017,0.017,0.095,0.212,0.212
1-Methylpyrrole ,C5H7N,0.002,0.003,0.005,,,0.012,0.012,0.008,0.015,0.015
3-Methylfuran ,C5H6O,0.018,0.025,0.040,,,0.013,0.013,0.059,0.073,0.073
Other C6H10 ,"isomer 4,C6H10",0.153,0.187,0.294,,,0.003,0.003,0.436,0.008,0.008
1-Methylcyclopentane ,C6H12,0.058,0.081,0.127,,,0.005,0.005,0.189,0.015,0.015
Pentenone ,C5H8O,0.317,0.440,0.693,,,0.231,0.231,1.028,3.78,3.78
Cyclopentanone ,C5H8O,0.087,0.120,0.189,,,0.083,0.083,0.281,0.199,0.199
2-Methyl-2-Butenal ,C5H8O,0.005,0.007,0.011,,,0.006,0.006,0.24,0.023,0.023
