fccs_id,urbanski_flame_smold_wf,urbanski_residual,urbanski_duff,urbanski_flame_smold_rx
157,SE forest,CWD residual,Temperate residual,SE forest,
158,SE forest,CWD residual,Temperate residual,SE forest,
161,SE forest,CWD residual,Temperate residual,SE forest,
162,SE forest,CWD residual,Temperate residual,SE forest,
164,SE forest,CWD residual,Temperate residual,SE forest,
165,SE forest,CWD residual,Temperate residual,SE forest,
166,SE forest,CWD residual,Temperate residual,SE forest,
168,SE forest,CWD residual,Temperate residual,SE forest,
170,SE forest,CWD residual,Temperate residual,SE forest,
173,SE forest,CWD residual,Temperate residual,SE forest,
174,SE forest,CWD residual,Temperate residual,SE forest,
175,Grass,CWD residual,Temperate residual,Grass,
176,Grass,CWD residual,Temperate residual,Grass,
178,SE forest,CWD residual,Temperate residual,SE forest,
180,SE forest,CWD residual,Temperate residual,SE forest,
181,SE forest,CWD residual,Temperate residual,SE forest,
182,SE forest,CWD residual,Temperate residual,SE forest,
183,SE forest,CWD residual,Temperate residual,SE forest,
184,SE forest,CWD residual,Temperate residual,SE forest,
185,SE forest,CWD residual,Temperate residual,SE forest,
186,SE forest,CWD residual,Temperate residual,SE forest,
187,SE forest,CWD residual,Temperate residual,SE forest,
188,SE forest,CWD residual,Temperate residual,SE forest,
189,SE forest,CWD residual,Temperate residual,SE forest,
190,SE forest,CWD residual,Temperate residual,SE forest,
191,SE forest,CWD residual,Temperate residual,SE forest,
196,SE forest,CWD residual,Temperate residual,SE forest,
203,Grass,CWD residual,Temperate residual,Grass,
208,Western forest,CWD residual,Temperate residual,NW Forest,
210,Western forest,CWD residual,Temperate residual,SW Forest,
211,Western forest,CWD residual,Temperate residual,NW Forest,
212,Western forest,CWD residual,Temperate residual,NW Forest,
213,Grass,CWD residual,Temperate residual,Grass,
214,Western forest,CWD residual,Temperate residual,NW Forest,
215,Western forest,CWD residual,Temperate residual,NW Forest,
216,Western Forest,,,,
217,Western forest,CWD residual,Temperate residual,SW Forest,
218,Western forest,CWD residual,Temperate residual,SW Forest,
219,Western forest,CWD residual,Temperate residual,SW Forest,
220,Western forest,CWD residual,Temperate residual,SW Forest,
221,Grass,CWD residual,Temperate residual,Grass,
222,Western forest,CWD residual,Temperate residual,NW Forest,
223,Western forest,CWD residual,Temperate residual,SW Forest,
224,Western forest,CWD residual,Temperate residual,SW Forest,
225,Western forest,CWD residual,Temperate residual,SW Forest,
226,Western forest,CWD residual,Temperate residual,NW Forest,
227,Western forest,CWD residual,Temperate residual,SW Forest,
228,Western forest,CWD residual,Temperate residual,SW Forest,
229,Western forest,CWD residual,Temperate residual,SW Forest,
230,Western forest,CWD residual,Temperate residual,SW Forest,
231,Western forest,CWD residual,Temperate residual,SW Forest,
232,Western forest,CWD residual,Temperate residual,SW Forest,
233,Shrub,CWD residual,Temperate residual,Shrub,
234,Shrub,CWD residual,Temperate residual,Shrub,
235,Grass,CWD residual,Temperate residual,Grass,
236,Shrub,CWD residual,Temperate residual,Shrub,
237,Western forest,CWD residual,Temperate residual,NW Forest,
238,Western forest,CWD residual,Temperate residual,NW Forest,
239,Western forest,CWD residual,Temperate residual,NW Forest,
240,SE forest,CWD residual,Temperate residual,SE forest,
241,SE forest,CWD residual,Temperate residual,SE forest,
242,SE forest,CWD residual,Temperate residual,SE forest,
243,SE forest,CWD residual,Temperate residual,SE forest,
260,,,,,
261,,,,,
262,,,,,
263,,,,,
264,SE forest,CWD residual,Temperate residual,SE forest,
265,Boreal forest,CWD residual,Boreal residual,Boreal forest,
266,SE forest,CWD residual,Temperate residual,SE forest,
267,Boreal forest,CWD residual,Boreal residual,Boreal forest,
268,Boreal forest,CWD residual,Boreal residual,Boreal forest,
269,SE forest,CWD residual,Temperate residual,SE forest,
270,Boreal forest,CWD residual,Boreal residual,Boreal forest,
272,SE forest,CWD residual,Temperate residual,SE forest,
273,Western forest,CWD residual,Temperate residual,NW Forest,
274,SE forest,CWD residual,Temperate residual,SE forest,
275,SE forest,CWD residual,Temperate residual,SE forest,
276,SE forest,CWD residual,Temperate residual,SE forest,
279,Boreal forest,CWD residual,Boreal residual,Boreal forest,
280,Grass,CWD residual,Temperate residual,Grass,
281,SE forest,CWD residual,Temperate residual,SE forest,
282,SE forest,CWD residual,Temperate residual,SE forest,
283,SE forest,CWD residual,Temperate residual,SE forest,
284,SE forest,CWD residual,Temperate residual,SE forest,
286,Western forest,CWD residual,Temperate residual,NW Forest,
287,SE forest,CWD residual,Temperate residual,SE forest,
288,SE forest,CWD residual,Temperate residual,SE forest,
289,SE forest,CWD residual,Temperate residual,SE forest,
291,SE forest,CWD residual,Temperate residual,SE forest,
